Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MID_VA
9-April-2024,2893.90,2915.95,2846.00,2857.35,2875.091387504940000000,78479,10624,225634297.00,42342,53.95,69.95,-36.55,
8-April-2024,2910.95,2910.95,2874.15,2893.90,2891.149949760620000000,67676,6789,195661464.00,41018,60.61,36.80,-17.05,
5-April-2024,2924.20,2927.15,2880.70,2884.65,2900.845207105120000000,104488,10118,303103514.00,58160,55.66,46.45,-39.55,
4-April-2024,2873.65,2942.35,2852.00,2919.20,2895.815345686070000000,122510,11516,354766338.00,59407,48.49,90.35,45.55,
3-April-2024,2853.25,2884.40,2847.05,2869.75,2864.792382529500000000,24155,2481,69199060.00,10515,43.53,37.35,16.50,
2-April-2024,2877.45,2891.95,2856.05,2873.40,2874.024400255400000000,43852,5024,126031718.00,23403,53.37,35.90,-4.05,
1-April-2024,2855.70,2885.80,2852.05,2871.30,2869.094739063160000000,14218,1467,40792789.00,6480,45.58,33.75,15.60,
28-March-2024,2837.45,2867.15,2819.00,2846.00,2846.194738852290000000,41892,3522,119232790.00,20449,48.81,48.15,8.55,
27-March-2024,2813.55,2843.15,2813.55,2830.05,2832.477677068130000000,71272,4154,201876349.00,57454,80.61,29.60,16.50,
26-March-2024,2806.35,2842.25,2806.35,2813.45,2822.707023655220000000,123440,12591,348434955.00,75579,61.23,35.90,7.10,
22-March-2024,2820.00,2854.75,2809.00,2842.25,2830.886189087210000000,74738,9257,211574772.00,34267,45.85,45.75,22.25,
